"Step","Oracle_Relearn_LR_0.0004 - val/wiki_eval_time","Oracle_Relearn_LR_0.0004 - val/wiki_eval_time__MIN","Oracle_Relearn_LR_0.0004 - val/wiki_eval_time__MAX","Oracle_Relearn_LR_0.0007 - val/wiki_eval_time","Oracle_Relearn_LR_0.0007 - val/wiki_eval_time__MIN","Oracle_Relearn_LR_0.0007 - val/wiki_eval_time__MAX"
"0","14.438332796096802","14.438332796096802","14.438332796096802","15.500446796417236","15.500446796417236","15.500446796417236"
"6","15.321134567260742","15.321134567260742","15.321134567260742","14.361238241195679","14.361238241195679","14.361238241195679"
"12","14.375086784362793","14.375086784362793","14.375086784362793","14.396871566772461","14.396871566772461","14.396871566772461"
"18","14.398815393447876","14.398815393447876","14.398815393447876","14.428566932678223","14.428566932678223","14.428566932678223"
"24","14.562814712524414","14.562814712524414","14.562814712524414","14.47749137878418","14.47749137878418","14.47749137878418"
"30","14.626631498336792","14.626631498336792","14.626631498336792","14.347506523132324","14.347506523132324","14.347506523132324"
"36","14.643141746520996","14.643141746520996","14.643141746520996","14.348737478256226","14.348737478256226","14.348737478256226"
"42","14.692472457885742","14.692472457885742","14.692472457885742","14.361002445220947","14.361002445220947","14.361002445220947"
"48","14.724039316177368","14.724039316177368","14.724039316177368","14.433167457580566","14.433167457580566","14.433167457580566"
"54","14.708484888076782","14.708484888076782","14.708484888076782","14.428787231445312","14.428787231445312","14.428787231445312"
"60","14.694159507751465","14.694159507751465","14.694159507751465","14.350138187408447","14.350138187408447","14.350138187408447"
"66","14.702556610107422","14.702556610107422","14.702556610107422","14.35610055923462","14.35610055923462","14.35610055923462"
"72","14.713616847991943","14.713616847991943","14.713616847991943","14.35531210899353","14.35531210899353","14.35531210899353"
"78","14.746076107025146","14.746076107025146","14.746076107025146","14.491158246994019","14.491158246994019","14.491158246994019"
"84","14.673143148422241","14.673143148422241","14.673143148422241","14.4521324634552","14.4521324634552","14.4521324634552"
"90","14.671203374862671","14.671203374862671","14.671203374862671","14.30613374710083","14.30613374710083","14.30613374710083"
"96","14.787266254425049","14.787266254425049","14.787266254425049","14.357795000076294","14.357795000076294","14.357795000076294"
"102","14.668572187423706","14.668572187423706","14.668572187423706","14.38233232498169","14.38233232498169","14.38233232498169"
"108","14.621154308319092","14.621154308319092","14.621154308319092","14.34818148612976","14.34818148612976","14.34818148612976"
"114","14.644700288772583","14.644700288772583","14.644700288772583","14.44000792503357","14.44000792503357","14.44000792503357"
"120","14.732236623764038","14.732236623764038","14.732236623764038","14.403063297271729","14.403063297271729","14.403063297271729"
"126","14.710613489151001","14.710613489151001","14.710613489151001","14.346808433532715","14.346808433532715","14.346808433532715"
"132","14.723265886306763","14.723265886306763","14.723265886306763","14.412418127059937","14.412418127059937","14.412418127059937"
"138","14.755759239196777","14.755759239196777","14.755759239196777","14.35117506980896","14.35117506980896","14.35117506980896"
"144","14.772665023803711","14.772665023803711","14.772665023803711","14.345660924911499","14.345660924911499","14.345660924911499"
"150","14.689465284347534","14.689465284347534","14.689465284347534","14.4080650806427","14.4080650806427","14.4080650806427"
"156","14.716434717178345","14.716434717178345","14.716434717178345","14.368193626403809","14.368193626403809","14.368193626403809"
"162","14.691916465759277","14.691916465759277","14.691916465759277","14.340541362762451","14.340541362762451","14.340541362762451"
"168","14.753802299499512","14.753802299499512","14.753802299499512","14.391184568405151","14.391184568405151","14.391184568405151"
"174","14.713958501815796","14.713958501815796","14.713958501815796","14.35042953491211","14.35042953491211","14.35042953491211"
"180","14.693195819854736","14.693195819854736","14.693195819854736","14.325375080108643","14.325375080108643","14.325375080108643"
"186","14.598500490188599","14.598500490188599","14.598500490188599","14.450375080108643","14.450375080108643","14.450375080108643"
"192","14.687619924545288","14.687619924545288","14.687619924545288","14.481892347335815","14.481892347335815","14.481892347335815"
"198","14.676684379577637","14.676684379577637","14.676684379577637","14.444910764694214","14.444910764694214","14.444910764694214"
"204","14.68610167503357","14.68610167503357","14.68610167503357","14.36476755142212","14.36476755142212","14.36476755142212"
"210","14.602191686630249","14.602191686630249","14.602191686630249","14.36546778678894","14.36546778678894","14.36546778678894"
"216","14.718093395233154","14.718093395233154","14.718093395233154","14.445584535598755","14.445584535598755","14.445584535598755"
"222","14.630664348602295","14.630664348602295","14.630664348602295","14.318111419677734","14.318111419677734","14.318111419677734"
"228","14.70155930519104","14.70155930519104","14.70155930519104","14.494881629943848","14.494881629943848","14.494881629943848"
"234","14.641826868057251","14.641826868057251","14.641826868057251","14.451998710632324","14.451998710632324","14.451998710632324"
"240","14.619321823120117","14.619321823120117","14.619321823120117","14.367021083831787","14.367021083831787","14.367021083831787"
"246","14.656240463256836","14.656240463256836","14.656240463256836","14.375874042510986","14.375874042510986","14.375874042510986"
"252","14.634233951568604","14.634233951568604","14.634233951568604","14.347643613815308","14.347643613815308","14.347643613815308"
"258","14.599063396453857","14.599063396453857","14.599063396453857","14.34743070602417","14.34743070602417","14.34743070602417"
"264","14.636924505233765","14.636924505233765","14.636924505233765","14.482343196868896","14.482343196868896","14.482343196868896"
"270","14.645699501037598","14.645699501037598","14.645699501037598","14.462074041366577","14.462074041366577","14.462074041366577"
"276","14.57557463645935","14.57557463645935","14.57557463645935","14.337268114089966","14.337268114089966","14.337268114089966"
"282","14.632513046264648","14.632513046264648","14.632513046264648","14.499375820159912","14.499375820159912","14.499375820159912"
"288","14.712837934494019","14.712837934494019","14.712837934494019","14.369292736053467","14.369292736053467","14.369292736053467"
"294","14.648512363433838","14.648512363433838","14.648512363433838","14.37693738937378","14.37693738937378","14.37693738937378"
"300","14.60421109199524","14.60421109199524","14.60421109199524","14.36449408531189","14.36449408531189","14.36449408531189"
